2020-07-28 08:03:03,524 [1] INFO  MainLog [(null)] - Logger MainLog initialized successfuly. Using configuration file D:\repos\APPLIC_IRCA\EasyCC\bin\Debug\MainLog.log4net.
2020-07-28 08:03:03,555 [1] DEBUG MainLog [(null)] - PripojujiKameru, Calling method:AppJCE.Vypis.Debug (line 19)
2020-07-28 08:03:03,980 [1] ERROR MainLog [(null)] - System.Exception: Camera Ping error
   v ApplicInfra.Infra.Kamera.Connect(IPAddress ip) v D:\cech\Documents\Visual Studio 2017\Projects\AppInfra\AppInfra\Infra\Kamera.cs:řádek 682, Calling method:AppJCE.Vypis.Error (line 38)
2020-07-28 08:03:08,705 [1] DEBUG MainLog [(null)] - 10.1.15.105, Calling method:AppJCE.Vypis.Debug (line 19)
2020-07-28 08:03:08,746 [1] DEBUG MainLog [(null)] - 192.168.56.1, Calling method:AppJCE.Vypis.Debug (line 19)
2020-07-28 08:03:08,782 [1] DEBUG MainLog [(null)] - 192.168.70.97, Calling method:AppJCE.Vypis.Debug (line 19)
2020-07-28 08:03:08,841 [1] DEBUG MainLog [(null)] - 10.1.15.1, Calling method:AppJCE.Vypis.Debug (line 19)
2020-07-28 08:03:08,847 [1] DEBUG MainLog [(null)] - ConnectAC, Calling method:AppJCE.Vypis.Debug (line 19)
2020-07-28 08:03:08,902 [1] DEBUG MainLog [(null)] - 10.1.15.54, Calling method:AppJCE.Vypis.Debug (line 19)
2020-07-28 08:03:08,903 [1] DEBUG MainLog [(null)] - ConnectAC, Calling method:AppJCE.Vypis.Debug (line 19)
2020-07-28 08:03:08,904 [1] DEBUG MainLog [(null)] - 10.1.15.53, Calling method:AppJCE.Vypis.Debug (line 19)
2020-07-28 08:03:08,905 [1] DEBUG MainLog [(null)] - ConnectAC, Calling method:AppJCE.Vypis.Debug (line 19)
2020-07-28 08:03:08,906 [1] DEBUG MainLog [(null)] - 10.1.15.23, Calling method:AppJCE.Vypis.Debug (line 19)
2020-07-28 08:03:08,907 [1] DEBUG MainLog [(null)] - ConnectAC, Calling method:AppJCE.Vypis.Debug (line 19)
2020-07-28 08:03:08,908 [1] DEBUG MainLog [(null)] - 10.1.15.64, Calling method:AppJCE.Vypis.Debug (line 19)
2020-07-28 08:03:08,909 [1] DEBUG MainLog [(null)] - ConnectAC, Calling method:AppJCE.Vypis.Debug (line 19)
2020-07-28 08:03:08,911 [1] DEBUG MainLog [(null)] - 10.1.15.65, Calling method:AppJCE.Vypis.Debug (line 19)
2020-07-28 08:03:08,912 [1] DEBUG MainLog [(null)] - ConnectAC, Calling method:AppJCE.Vypis.Debug (line 19)
2020-07-28 08:03:08,913 [1] DEBUG MainLog [(null)] - 10.1.15.105, Calling method:AppJCE.Vypis.Debug (line 19)
2020-07-28 08:03:08,914 [1] DEBUG MainLog [(null)] - ConnectAC, Calling method:AppJCE.Vypis.Debug (line 19)
