2019-08-28 08:28:01,554 [1] INFO  MainLog [(null)] - Logger MainLog initialized successfuly. Using configuration file C:\Users\cech.jiri\Documents\Visual Studio 2017\Projects\AppInfra\InfraEasySetup\bin\Debug\MainLog.log4net.
2019-08-28 08:28:01,608 [1] DEBUG MainLog [(null)] - PripojujiKameru, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:28:01,629 [1] DEBUG MainLog [(null)] - OnACConnected, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:28:01,679 [1] DEBUG MainLog [(null)] - Moje kamera: IRCA3Mv190206a, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:29:01,694 [11] DEBUG MainLog [(null)] - old -1 new 0, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:30:01,697 [12] DEBUG MainLog [(null)] - old 0 new 130, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:31:01,702 [12] DEBUG MainLog [(null)] - old 130 new 250, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:32:01,704 [11] DEBUG MainLog [(null)] - old 250 new 370, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:33:01,707 [9] DEBUG MainLog [(null)] - old 370 new 490, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:34:01,711 [9] DEBUG MainLog [(null)] - old 490 new 610, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:35:01,713 [10] DEBUG MainLog [(null)] - old 610 new 730, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:36:01,715 [4] DEBUG MainLog [(null)] - old 730 new 850, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:37:01,718 [9] DEBUG MainLog [(null)] - old 850 new 970, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:38:01,720 [10] DEBUG MainLog [(null)] - old 970 new 1090, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:39:01,722 [4] DEBUG MainLog [(null)] - old 1090 new 1210, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:40:01,724 [9] DEBUG MainLog [(null)] - old 1210 new 1330, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:41:01,726 [9] DEBUG MainLog [(null)] - old 1330 new 1450, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:42:01,729 [11] DEBUG MainLog [(null)] - old 1450 new 1571, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:43:01,730 [9] DEBUG MainLog [(null)] - old 1571 new 1691, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:44:01,731 [11] DEBUG MainLog [(null)] - old 1691 new 1811, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:45:01,735 [9] DEBUG MainLog [(null)] - old 1811 new 1931, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:46:01,739 [11] DEBUG MainLog [(null)] - old 1931 new 2051, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:47:01,744 [4] DEBUG MainLog [(null)] - old 2051 new 2171, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:48:01,749 [9] DEBUG MainLog [(null)] - old 2171 new 2291, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:49:01,766 [10] DEBUG MainLog [(null)] - old 2291 new 2411, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:50:01,771 [10] DEBUG MainLog [(null)] - old 2411 new 2531, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:51:01,773 [8] DEBUG MainLog [(null)] - old 2531 new 2651, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:52:01,772 [4] DEBUG MainLog [(null)] - old 2651 new 2771, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:53:01,771 [11] DEBUG MainLog [(null)] - old 2771 new 2891, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:54:01,770 [11] DEBUG MainLog [(null)] - old 2891 new 3011, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:55:01,769 [12] DEBUG MainLog [(null)] - old 3011 new 3131, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:56:01,768 [11] DEBUG MainLog [(null)] - old 3131 new 3251, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:57:01,770 [12] DEBUG MainLog [(null)] - old 3251 new 3371, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:58:01,772 [4] DEBUG MainLog [(null)] - old 3371 new 3491, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 08:59:01,772 [11] DEBUG MainLog [(null)] - old 3491 new 3611, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:00:01,774 [8] DEBUG MainLog [(null)] - old 3611 new 3731, Calling method:AppJCE.Vypis.Debug (line 19)
